,participantId,task,format,duration_sec,help_count,correct,search_count,copy_count,paste_count
115,667971a555af1f83d3f29ae7,reading-task-tabular-1,hjson,77.244,0,1,0,0,0
116,667971a555af1f83d3f29ae7,reading-task-tabular-2,hjson,43.686,0,1,0,0,0
117,667971a555af1f83d3f29ae7,reading-task-tabular-3,hjson,34.522,0,1,0,0,0
118,667971a555af1f83d3f29ae7,reading-task-tabular-4,hjson,29.027,0,1,0,0,0
119,667971a555af1f83d3f29ae7,reading-task-tabular-5,hjson,78.892,0,1,0,0,0
120,5c6414540821d30001046198,reading-task-tabular-1,hjson,106.725,0,1,0,0,0
121,5c6414540821d30001046198,reading-task-tabular-2,hjson,112.67,0,1,0,0,0
122,5c6414540821d30001046198,reading-task-tabular-3,hjson,35.555,0,1,0,0,0
123,5c6414540821d30001046198,reading-task-tabular-4,hjson,47.363,0,1,0,0,0
124,5c6414540821d30001046198,reading-task-tabular-5,hjson,98.437,0,1,0,0,0
125,6788c1c724c24dc56b08790a,reading-task-tabular-1,json5,239.505,1,1,0,0,0
126,6788c1c724c24dc56b08790a,reading-task-tabular-2,json5,54.938,0,1,0,0,0
127,6788c1c724c24dc56b08790a,reading-task-tabular-3,json5,46.868,0,0,0,0,0
128,6788c1c724c24dc56b08790a,reading-task-tabular-4,json5,43.443,0,1,0,0,0
129,6788c1c724c24dc56b08790a,reading-task-tabular-5,json5,62.57,0,1,0,0,0
130,67adb520391eb17f214a50b4,reading-task-tabular-1,yaml,113.913,0,1,0,0,0
131,67adb520391eb17f214a50b4,reading-task-tabular-2,yaml,31.367,0,1,0,0,0
132,67adb520391eb17f214a50b4,reading-task-tabular-3,yaml,33.502,0,0,0,0,0
133,67adb520391eb17f214a50b4,reading-task-tabular-4,yaml,80.192,0,1,0,0,0
134,67adb520391eb17f214a50b4,reading-task-tabular-5,yaml,75.743,0,1,0,0,0
135,67d95269b47464c18da766ca,reading-task-tabular-1,xml,97.194,1,0,0,0,0
136,67d95269b47464c18da766ca,reading-task-tabular-2,xml,151.89,0,1,0,0,0
137,67d95269b47464c18da766ca,reading-task-tabular-3,xml,87.835,0,1,0,0,0
138,67d95269b47464c18da766ca,reading-task-tabular-4,xml,108.331,0,1,0,0,0
139,67d95269b47464c18da766ca,reading-task-tabular-5,xml,89.568,0,1,0,0,0
140,64275e53f51a5ed4f6b7d019,reading-task-tabular-1,toml,129.507,0,1,0,0,0
141,64275e53f51a5ed4f6b7d019,reading-task-tabular-2,toml,42.225,0,1,0,0,0
142,64275e53f51a5ed4f6b7d019,reading-task-tabular-3,toml,25.789,0,1,0,0,0
143,64275e53f51a5ed4f6b7d019,reading-task-tabular-4,toml,38.101,0,1,0,0,0
144,64275e53f51a5ed4f6b7d019,reading-task-tabular-5,toml,46.709,0,1,0,0,0
145,6734346ca8e90c2da6fb4509,reading-task-tabular-1,jsonc,26.073,1,0,1,0,0
146,6734346ca8e90c2da6fb4509,reading-task-tabular-2,jsonc,45.905,0,1,1,0,0
147,6734346ca8e90c2da6fb4509,reading-task-tabular-3,jsonc,50.751,0,1,2,0,0
148,6734346ca8e90c2da6fb4509,reading-task-tabular-4,jsonc,112.931,0,1,1,0,0
149,6734346ca8e90c2da6fb4509,reading-task-tabular-5,jsonc,100.878,0,1,1,0,0
150,66049694dfb8828a8f3dce70,reading-task-tabular-1,yaml,176.36,0,1,0,0,0
151,66049694dfb8828a8f3dce70,reading-task-tabular-2,yaml,45.245,0,1,0,0,0
152,66049694dfb8828a8f3dce70,reading-task-tabular-3,yaml,33.546,0,1,0,0,0
153,66049694dfb8828a8f3dce70,reading-task-tabular-4,yaml,30.709,0,1,0,0,0
154,66049694dfb8828a8f3dce70,reading-task-tabular-5,yaml,89.33,0,1,0,0,0
155,67ab214c2cde1be7c45535ac,reading-task-tabular-1,jsonc,81.423,0,1,0,0,0
156,67ab214c2cde1be7c45535ac,reading-task-tabular-2,jsonc,16.991,0,1,0,0,0
157,67ab214c2cde1be7c45535ac,reading-task-tabular-3,jsonc,10.979,0,1,0,0,0
158,67ab214c2cde1be7c45535ac,reading-task-tabular-4,jsonc,22.69,0,1,0,0,0
159,67ab214c2cde1be7c45535ac,reading-task-tabular-5,jsonc,45.337,0,1,0,0,0
160,607728dc0b4f8590b94ae57c,reading-task-tabular-1,jsonc,36.361,0,1,0,0,0
161,607728dc0b4f8590b94ae57c,reading-task-tabular-2,jsonc,38.988,0,1,0,0,0
162,607728dc0b4f8590b94ae57c,reading-task-tabular-3,jsonc,250.372,0,1,0,0,0
163,607728dc0b4f8590b94ae57c,reading-task-tabular-4,jsonc,26.174,0,1,0,0,0
164,607728dc0b4f8590b94ae57c,reading-task-tabular-5,jsonc,65.531,0,1,0,0,0
165,667c18ace97ab6869cb1c50e,reading-task-tabular-1,hjson,64.183,0,1,0,0,0
166,667c18ace97ab6869cb1c50e,reading-task-tabular-2,hjson,57.836,0,1,0,0,0
167,667c18ace97ab6869cb1c50e,reading-task-tabular-3,hjson,38.786,0,1,0,0,0
168,667c18ace97ab6869cb1c50e,reading-task-tabular-4,hjson,21.145,0,1,0,0,0
169,667c18ace97ab6869cb1c50e,reading-task-tabular-5,hjson,38.165,0,0,0,0,0
170,667ac09492ea0caadf488520,reading-task-tabular-1,json,89.986,0,0,0,0,0
171,667ac09492ea0caadf488520,reading-task-tabular-2,json,143.824,0,0,0,0,0
172,667ac09492ea0caadf488520,reading-task-tabular-3,json,108.916,0,0,0,0,0
173,667ac09492ea0caadf488520,reading-task-tabular-4,json,32.296,0,1,0,0,0
174,667ac09492ea0caadf488520,reading-task-tabular-5,json,85.892,0,0,0,0,0
175,6740ae39809389d7da9de209,reading-task-tabular-1,xml,148.482,0,1,0,0,0
176,6740ae39809389d7da9de209,reading-task-tabular-2,xml,99.414,0,1,0,0,0
177,6740ae39809389d7da9de209,reading-task-tabular-3,xml,48.456,0,1,0,0,0
178,6740ae39809389d7da9de209,reading-task-tabular-4,xml,87.145,0,1,0,0,0
179,6740ae39809389d7da9de209,reading-task-tabular-5,xml,129.125,0,1,0,0,0
180,67c246023b44ca64d40ae45a,reading-task-tabular-1,json5,115.672,0,1,0,0,0
181,67c246023b44ca64d40ae45a,reading-task-tabular-2,json5,30.989,0,1,0,0,0
182,67c246023b44ca64d40ae45a,reading-task-tabular-3,json5,155.042,0,0,0,0,0
183,67c246023b44ca64d40ae45a,reading-task-tabular-4,json5,98.903,0,1,0,0,0
184,67c246023b44ca64d40ae45a,reading-task-tabular-5,json5,196.634,0,0,0,0,0
185,67debe02a893eea51e8d02f2,reading-task-tabular-1,json,82.546,0,1,0,0,0
186,67debe02a893eea51e8d02f2,reading-task-tabular-2,json,39.74,0,1,0,0,0
187,67debe02a893eea51e8d02f2,reading-task-tabular-3,json,30.543,0,1,0,0,0
188,67debe02a893eea51e8d02f2,reading-task-tabular-4,json,34.501,0,1,0,0,0
189,67debe02a893eea51e8d02f2,reading-task-tabular-5,json,82.679,0,1,0,0,0
190,673d0377254c407e5da57f97,reading-task-tabular-1,toml,125.172,0,1,0,0,0
191,673d0377254c407e5da57f97,reading-task-tabular-2,toml,67.067,0,1,0,1,0
192,673d0377254c407e5da57f97,reading-task-tabular-3,toml,85.795,0,1,0,0,0
193,673d0377254c407e5da57f97,reading-task-tabular-4,toml,31.096,0,1,0,0,0
194,673d0377254c407e5da57f97,reading-task-tabular-5,toml,103.101,0,1,0,0,0
